Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;8;33;32;31;16.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;12;65;61;57;30.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;21;118;111;104;55.50;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;15;32;32;32;32.00;1;0;1;206;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;210;331;279;226;93.00;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;155;219;208;187;52.00;3;1;4;470;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;18;87;81;75;40.50;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;11;28;28;28;28.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;34;56;54;52;27.00;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;380;583;506;428;168.67;2;0;3;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;86;164;134;104;67.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;18;35;35;35;35.00;1;0;1;206;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;81;100;99;98;49.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;57;109;94;78;31.33;2;0;3;468;No
1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;41;62;60;57;30.00;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java;156;812;406;231;101.50;3;1;4;385;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java;149;578;289;171;72.25;3;1;4;385;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;34;51;51;51;51.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;40;57;57;57;57.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;206;270;250;230;83.33;2;0;3;403;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;96;142;138;133;46.00;2;0;3;468;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;160;238;230;221;57.50;2;0;4;495;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;42;66;64;61;32.00;2;0;2;298;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;48;71;68;65;34.00;2;0;2;376;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;99;116;116;116;116.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;141;188;177;166;88.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;595;769;731;692;243.67;2;0;3;403;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;69;109;101;93;33.67;2;0;3;403;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;242;292;276;260;92.00;2;0;3;403;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;153;170;170;170;170.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;117;204;186;126;23.25;3;2;8;533;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;93;116;114;112;57.00;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;31;62;55;48;27.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;57;82;79;76;39.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;108;133;131;129;65.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;36;53;53;53;53.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;285;316;311;305;103.67;2;0;3;468;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;37;54;54;54;54.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;244;286;277;268;138.50;2;0;2;376;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;35;54;53;52;26.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;174;240;223;206;111.50;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;45;68;66;64;33.00;2;0;2;376;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;284;323;319;311;79.75;3;1;4;469;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;30;47;47;47;47.00;1;0;1;206;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;71;94;93;92;46.50;2;0;2;376;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;804;921;701;275;50.07;3;4;14;433;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;72;69;40;29;13.33;3;0;3;251;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;131;42;27;12;6.75;2;1;4;228;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;358;308;146;64;16.22;3;3;9;391;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;144;92;86;76;17.20;3;1;5;327;Yes
